Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Critica_Profesional,Critica_Usuario,Tiene_Rating,Global_Sales_norm
Dance on Broadway,Wii,2010.0,Misc,Ubisoft,0.26,0.65,0.0,0.12,1.02,48.0,6.0,3.3,4.0,E10+,Sí,Sí,Sí,0.9711538461538461
Tiger Woods PGA Tour 08,Wii,2007.0,Sports,Electronic Arts,0.93,0.01,0.0,0.08,1.02,72.0,24.0,7.0,22.0,E,Sí,Sí,Sí,0.9711538461538461
Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007.0,Fighting,Atari,0.32,0.36,0.26,0.09,1.02,72.0,27.0,8.4,61.0,T,Sí,Sí,Sí,0.9711538461538461
Need for Speed: Most Wanted,PSV,2012.0,Racing,Electronic Arts,0.33,0.46,0.01,0.22,1.02,,,,,,No,No,No,0.9711538461538461
Skylanders SWAP Force,PS3,2013.0,Platform,Activision,0.44,0.42,0.0,0.17,1.02,83.0,31.0,5.3,33.0,E10+,Sí,Sí,Sí,0.9711538461538461
Shrek 2,GC,2004.0,Platform,Activision,0.73,0.26,0.01,0.03,1.02,70.0,25.0,6.7,15.0,E,Sí,Sí,Sí,0.9711538461538461
Tom Clancys Ghost Recon Advanced Warfighter 2,X360,2007.0,Shooter,Ubisoft,0.87,0.05,0.02,0.08,1.02,86.0,58.0,8.1,89.0,T,Sí,Sí,Sí,0.9711538461538461
Sonic Unleashed,PS3,2008.0,Platform,Sega,0.56,0.32,0.01,0.14,1.02,54.0,24.0,7.8,132.0,E10+,Sí,Sí,Sí,0.9711538461538461
Disney Fairies: Tinker Bell and the Lost Treasure,DS,2009.0,Adventure,Disney Interactive Studios,0.56,0.34,0.02,0.09,1.02,,,,,E,No,No,Sí,0.9711538461538461
Final Fight 2,SNES,1993.0,Action,Capcom,0.39,0.12,0.49,0.02,1.02,,,,,,No,No,No,0.9711538461538461
The Lost World: Jurassic Park,PS,1997.0,Action,Electronic Arts,0.57,0.39,0.0,0.07,1.02,,,,,,No,No,No,0.9711538461538461
Petz: Catz 2,DS,2007.0,Simulation,Ubisoft,0.51,0.4,0.0,0.11,1.02,,,9.0,4.0,E,No,Sí,Sí,0.9711538461538461
LEGO Indiana Jones 2: The Adventure Continues,X360,2009.0,Action,Activision,0.62,0.31,0.0,0.09,1.02,71.0,41.0,7.4,25.0,E10+,Sí,Sí,Sí,0.9711538461538461
Bulletstorm,X360,2011.0,Shooter,Electronic Arts,0.61,0.32,0.01,0.08,1.02,84.0,83.0,7.6,440.0,M,Sí,Sí,Sí,0.9711538461538461
Madden NFL 07,X,2006.0,Sports,Electronic Arts,0.97,0.03,0.0,0.03,1.02,83.0,27.0,8.7,6.0,E,Sí,Sí,Sí,0.9711538461538461
Rock Band 2,Wii,2008.0,Misc,MTV Games,0.93,0.01,0.0,0.08,1.02,92.0,10.0,7.7,45.0,T,Sí,Sí,Sí,0.9711538461538461
Harry Potter and the Prisoner of Azkaban,PS2,2004.0,Action,Electronic Arts,0.5,0.39,0.0,0.13,1.02,70.0,29.0,8.8,31.0,E,Sí,Sí,Sí,0.9711538461538461
Pokemon Conquest,DS,2012.0,Role-Playing,Nintendo,0.56,0.05,0.37,0.04,1.02,80.0,40.0,8.2,90.0,E,Sí,Sí,Sí,0.9711538461538461
Wall-E,Wii,2008.0,Platform,THQ,0.51,0.4,0.0,0.11,1.02,51.0,18.0,3.6,8.0,E,Sí,Sí,Sí,0.9711538461538461
Pong: The Next Level,PS,1998.0,Puzzle,Hasbro Interactive,0.56,0.38,0.0,0.07,1.01,,,,,,No,No,No,0.9615384615384615
Naruto: Clash of Ninja Revolution,Wii,2007.0,Fighting,Tomy Corporation,0.44,0.46,0.0,0.11,1.01,74.0,23.0,8.0,27.0,T,Sí,Sí,Sí,0.9615384615384615
Just Dance 2016,Wii,2015.0,Misc,Ubisoft,0.42,0.51,0.0,0.08,1.01,,,,,E10+,No,No,Sí,0.9615384615384615
Ace Combat 6: Fires of Liberation,X360,2007.0,Simulation,Atari,0.69,0.04,0.22,0.06,1.01,80.0,54.0,7.9,101.0,T,Sí,Sí,Sí,0.9615384615384615
Assassins Creed: Rogue,X360,2014.0,Action,Ubisoft,0.59,0.34,0.0,0.09,1.01,72.0,32.0,7.3,321.0,M,Sí,Sí,Sí,0.9615384615384615
ZombiU,WiiU,2012.0,Action,Ubisoft,0.52,0.36,0.05,0.08,1.01,77.0,70.0,7.7,760.0,M,Sí,Sí,Sí,0.9615384615384615
The Simpsons Game,Wii,2007.0,Action,Electronic Arts,0.45,0.46,0.0,0.11,1.01,64.0,19.0,6.1,38.0,T,Sí,Sí,Sí,0.9615384615384615
Championship Manager 3,PC,2003.0,Sports,Eidos Interactive,0.0,0.93,0.0,0.08,1.01,,,,,,No,No,No,0.9615384615384615
NBA Jam Tournament Edition,SNES,1995.0,Sports,Acclaim Entertainment,0.87,0.12,0.0,0.02,1.01,,,,,,No,No,No,0.9615384615384615
Ninja Gaiden II,X360,2008.0,Action,Tecmo Koei,0.65,0.22,0.05,0.1,1.01,81.0,74.0,8.0,304.0,M,Sí,Sí,Sí,0.9615384615384615
Oshare Majo Love and Berry: DS Collection,DS,2006.0,Misc,Sega,0.0,0.0,1.01,0.0,1.01,,,,,,No,No,No,0.9615384615384615
Prince of Persia,X360,2008.0,Action,Ubisoft,0.54,0.34,0.02,0.1,1.01,81.0,73.0,7.0,189.0,T,Sí,Sí,Sí,0.9615384615384615
Monster Rancher,PS,1997.0,Simulation,Tecmo Koei,0.12,0.08,0.74,0.07,1.01,86.0,5.0,8.3,10.0,,Sí,Sí,No,0.9615384615384615
Ford Racing 2,PS2,2003.0,Racing,Empire Interactive,0.49,0.38,0.0,0.13,1.0,51.0,5.0,8.0,8.0,E,Sí,Sí,Sí,0.9519230769230769
Breath of Fire III,PS,1997.0,Role-Playing,Capcom,0.29,0.19,0.46,0.07,1.0,,,,,,No,No,No,0.9519230769230769
NERF N-Strike Elite,Wii,2009.0,Shooter,Electronic Arts,0.93,0.0,0.0,0.07,1.0,67.0,12.0,4.5,6.0,E10+,Sí,Sí,Sí,0.9519230769230769
God of War: Ghost of Sparta,PSP,2010.0,Action,Sony Computer Entertainment,0.41,0.35,0.03,0.21,1.0,86.0,73.0,8.4,256.0,M,Sí,Sí,Sí,0.9519230769230769
Dead or Alive 2,PS2,2000.0,Fighting,Tecmo Koei,0.3,0.24,0.38,0.08,1.0,,,,,,No,No,No,0.9519230769230769
Game & Watch Gallery,G,1997.0,Misc,Nintendo,0.63,0.25,0.09,0.03,1.0,,,,,,No,No,No,0.9519230769230769
1942,NES,1985.0,Shooter,Capcom,0.65,0.14,0.21,0.0,1.0,,,,,,No,No,No,0.9519230769230769
Excitebike 64,N64,2000.0,Racing,Nintendo,0.65,0.15,0.19,0.01,1.0,,,,,,No,No,No,0.9519230769230769
NES Open Tournament Golf,NES,1991.0,Sports,Nintendo,0.41,0.1,0.47,0.02,1.0,,,,,,No,No,No,0.9519230769230769
Jissen Pachi-Slot Hisshouhou: Hokuto no Ken,PS2,2004.0,Misc,Sammy Corporation,0.0,0.0,1.0,0.0,1.0,,,,,,No,No,No,0.9519230769230769
SoulCalibur II,X,2003.0,Fighting,Namco Bandai Games,0.78,0.18,0.03,0.0,1.0,92.0,39.0,8.9,54.0,T,Sí,Sí,Sí,0.9519230769230769
PES 2009: Pro Evolution Soccer,X360,2008.0,Sports,Konami Digital Entertainment,0.13,0.76,0.03,0.09,1.0,,,,,,No,No,No,0.9519230769230769
Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),X360,2006.0,Sports,Konami Digital Entertainment,0.08,0.9,0.02,0.0,1.0,,,,,,No,No,No,0.9519230769230769
Road & Track Presents: The Need for Speed,PS,1995.0,Racing,Electronic Arts,0.56,0.38,0.0,0.07,1.0,,,,,,No,No,No,0.9519230769230769
NFL GameDay 2001,PS,2000.0,Sports,Sony Computer Entertainment,0.56,0.38,0.0,0.07,1.0,73.0,10.0,,,E,Sí,No,Sí,0.9519230769230769
Just Dance 2014,X360,2013.0,Misc,Ubisoft,0.73,0.17,0.0,0.1,1.0,79.0,16.0,7.8,33.0,E10+,Sí,Sí,Sí,0.9519230769230769
NBA Live 97,PS,1996.0,Sports,Electronic Arts,0.55,0.38,0.0,0.07,1.0,,,,,,No,No,No,0.9519230769230769
Rayman Origins,PS3,2011.0,Platform,Ubisoft,0.33,0.49,0.01,0.17,1.0,87.0,43.0,8.4,241.0,E10+,Sí,Sí,Sí,0.9519230769230769
Dynasty Warriors 3: Xtreme Legends,PS2,2002.0,Action,Tecmo Koei,0.13,0.1,0.74,0.03,1.0,72.0,16.0,9.3,54.0,T,Sí,Sí,Sí,0.9519230769230769
Jampack Winter 2000,PS,2000.0,Misc,Sony Computer Entertainment,0.55,0.38,0.0,0.07,1.0,,,,,,No,No,No,0.9519230769230769
EyePet,PS3,2009.0,Simulation,Sony Computer Entertainment,0.36,0.52,0.04,0.09,1.0,70.0,35.0,8.2,20.0,E,Sí,Sí,Sí,0.9519230769230769
NFL Fever 2002,X,2000.0,Sports,Microsoft Game Studios,0.74,0.21,0.0,0.04,0.99,79.0,24.0,8.5,10.0,E,Sí,Sí,Sí,0.9423076923076923
NCAA Football 12,X360,2011.0,Sports,Electronic Arts,0.94,0.0,0.0,0.06,0.99,82.0,25.0,6.6,49.0,E,Sí,Sí,Sí,0.9423076923076923
The Simpsons: Hit & Run,GC,2003.0,Racing,Vivendi Games,0.77,0.2,0.0,0.03,0.99,,,,,,No,No,No,0.9423076923076923
Madden NFL 16,X360,2015.0,Sports,Electronic Arts,0.86,0.02,0.0,0.11,0.99,,,5.1,12.0,E,No,Sí,Sí,0.9423076923076923
Rocksmith 2014,PS3,2013.0,Misc,Ubisoft,0.54,0.24,0.05,0.16,0.99,,,,,,No,No,No,0.9423076923076923
UFC Undisputed 3,X360,2012.0,Action,THQ,0.72,0.2,0.0,0.08,0.99,85.0,60.0,7.6,88.0,T,Sí,Sí,Sí,0.9423076923076923
Kirby: Mass Attack,DS,2011.0,Platform,Nintendo,0.48,0.06,0.41,0.05,0.99,83.0,46.0,8.6,55.0,E,Sí,Sí,Sí,0.9423076923076923
Haze,PS3,2008.0,Shooter,Ubisoft,0.49,0.33,0.02,0.15,0.99,55.0,65.0,6.5,296.0,M,Sí,Sí,Sí,0.9423076923076923
Oddworld: Abes Exoddus,PS,1998.0,Platform,GT Interactive,0.55,0.38,0.0,0.06,0.99,88.0,13.0,9.1,69.0,T,Sí,Sí,Sí,0.9423076923076923
EA Sports UFC 2,PS4,2016.0,Sports,Electronic Arts,0.32,0.51,0.0,0.16,0.99,79.0,38.0,6.1,161.0,T,Sí,Sí,Sí,0.9423076923076923
DiRT 2,PS3,2009.0,Racing,Codemasters,0.27,0.52,0.0,0.19,0.99,87.0,63.0,8.2,95.0,T,Sí,Sí,Sí,0.9423076923076923
The Bouncer,PS2,2000.0,Action,Sony Computer Entertainment,0.3,0.23,0.38,0.08,0.99,66.0,20.0,8.0,35.0,T,Sí,Sí,Sí,0.9423076923076923
Guitar Hero: Aerosmith,PS3,2008.0,Misc,Activision,0.73,0.15,0.0,0.11,0.99,70.0,39.0,5.0,26.0,T,Sí,Sí,Sí,0.9423076923076923
Final Fantasy Type-0,PS4,2015.0,Role-Playing,Square Enix,0.38,0.32,0.15,0.14,0.99,,,,,,No,No,No,0.9423076923076923
Shadow The Hedgehog,GC,2005.0,Platform,Sega,0.76,0.2,0.0,0.03,0.99,51.0,22.0,6.5,121.0,E10+,Sí,Sí,Sí,0.9423076923076923
Apollo Justice: Ace Attorney,DS,2007.0,Adventure,Capcom,0.28,0.04,0.64,0.03,0.99,78.0,48.0,8.1,84.0,T,Sí,Sí,Sí,0.9423076923076923
Ace Combat X: Skies of Deception,PSP,2006.0,Simulation,Namco Bandai Games,0.37,0.3,0.12,0.19,0.99,75.0,26.0,8.3,30.0,T,Sí,Sí,Sí,0.9423076923076923
Disney Infinity,PS3,2013.0,Action,Disney Interactive Studios,0.51,0.32,0.0,0.16,0.99,75.0,21.0,5.9,47.0,E10+,Sí,Sí,Sí,0.9423076923076923
Dark Souls,X360,2011.0,Role-Playing,Namco Bandai Games,0.64,0.27,0.0,0.09,0.99,89.0,66.0,8.4,1111.0,M,Sí,Sí,Sí,0.9423076923076923
Cars: Race-O-Rama,Wii,2009.0,Racing,THQ,0.61,0.29,0.0,0.09,0.99,58.0,7.0,,,E,Sí,No,Sí,0.9423076923076923
Puzzler Collection,DS,2008.0,Puzzle,Ubisoft,0.16,0.78,0.0,0.04,0.99,71.0,5.0,,,E,Sí,No,Sí,0.9423076923076923
NBA 2K16,X360,2015.0,Sports,Take-Two Interactive,0.83,0.05,0.0,0.1,0.98,,,3.0,25.0,E,No,Sí,Sí,0.9326923076923076
Evolve,PS4,2015.0,Shooter,Take-Two Interactive,0.37,0.41,0.05,0.15,0.98,76.0,46.0,4.3,897.0,M,Sí,Sí,Sí,0.9326923076923076
Midnight Club: LA Remix,PSP,2008.0,Racing,Take-Two Interactive,0.52,0.27,0.0,0.19,0.98,79.0,26.0,8.7,43.0,T,Sí,Sí,Sí,0.9326923076923076
Pro Evolution Soccer 2008,PSP,2008.0,Sports,Konami Digital Entertainment,0.02,0.53,0.19,0.25,0.98,80.0,17.0,6.8,11.0,E,Sí,Sí,Sí,0.9326923076923076
Littlest Pet Shop: Winter,DS,2008.0,Simulation,Electronic Arts,0.58,0.31,0.0,0.1,0.98,,,,,E,No,No,Sí,0.9326923076923076
NBA 2K10,X360,2009.0,Sports,Take-Two Interactive,0.89,0.02,0.0,0.08,0.98,82.0,46.0,7.6,34.0,E,Sí,Sí,Sí,0.9326923076923076
Tales of Graces f,PS3,2010.0,Role-Playing,Namco Bandai Games,0.28,0.18,0.45,0.07,0.98,77.0,55.0,8.2,336.0,T,Sí,Sí,Sí,0.9326923076923076
FIFA Soccer 10,Wii,2009.0,Sports,Electronic Arts,0.23,0.64,0.0,0.11,0.98,75.0,21.0,6.2,17.0,E,Sí,Sí,Sí,0.9326923076923076
Fallout 3,PC,2008.0,Role-Playing,Bethesda Softworks,0.02,0.88,0.0,0.08,0.98,91.0,48.0,7.9,3479.0,M,Sí,Sí,Sí,0.9326923076923076
Mario Party Advance,GBA,2005.0,Misc,Nintendo,0.5,0.19,0.28,0.02,0.98,54.0,27.0,5.4,34.0,E,Sí,Sí,Sí,0.9326923076923076
Zoo Tycoon DS,DS,2005.0,Strategy,THQ,0.86,0.03,0.01,0.08,0.98,44.0,19.0,6.6,25.0,E,Sí,Sí,Sí,0.9326923076923076
Tom Clancys Splinter Cell: Blacklist,X360,2013.0,Action,Ubisoft,0.57,0.32,0.01,0.08,0.98,82.0,58.0,7.5,384.0,M,Sí,Sí,Sí,0.9326923076923076
Tetris 2,NES,1993.0,Puzzle,Nintendo,0.62,0.13,0.21,0.02,0.98,,,,,,No,No,No,0.9326923076923076
NASCAR 99,N64,1998.0,Racing,Electronic Arts,0.94,0.04,0.0,0.01,0.98,,,,,,No,No,No,0.9326923076923076
Dead Space 3,X360,2013.0,Action,Electronic Arts,0.64,0.26,0.0,0.08,0.98,78.0,68.0,6.4,697.0,M,Sí,Sí,Sí,0.9326923076923076
WWE SmackDown vs Raw 2008,Wii,2007.0,Fighting,THQ,0.38,0.5,0.0,0.11,0.98,59.0,13.0,5.9,18.0,T,Sí,Sí,Sí,0.9326923076923076
Air-Sea Battle,2600,1980.0,Shooter,Atari,0.91,0.06,0.0,0.01,0.98,,,,,,No,No,No,0.9326923076923076
Suikoden III,PS2,2002.0,Role-Playing,Konami Digital Entertainment,0.29,0.23,0.38,0.08,0.98,86.0,23.0,7.7,114.0,T,Sí,Sí,Sí,0.9326923076923076
LEGO Harry Potter: Years 5-7,X360,2011.0,Action,Warner Bros. Interactive Entertainment,0.51,0.38,0.0,0.09,0.98,77.0,35.0,7.9,39.0,E10+,Sí,Sí,Sí,0.9326923076923076
FIFA 17,PS3,2016.0,Sports,Electronic Arts,0.07,0.73,0.03,0.14,0.98,,,3.0,26.0,E,No,Sí,Sí,0.9326923076923076
Madden NFL 10,PS2,2009.0,Sports,Electronic Arts,0.88,0.0,0.0,0.1,0.98,,,7.2,6.0,E,No,Sí,Sí,0.9326923076923076
Disney Infinity 2.0: Marvel Super Heroes,PS3,2014.0,Action,Disney Interactive Studios,0.47,0.34,0.0,0.17,0.98,,,,,,No,No,No,0.9326923076923076
NCAA Football 06,X,2005.0,Sports,Electronic Arts,0.73,0.21,0.0,0.03,0.97,87.0,38.0,8.3,27.0,E,Sí,Sí,Sí,0.923076923076923
Grand Theft Auto: San Andreas,PC,2005.0,Action,Take-Two Interactive,0.0,0.93,0.0,0.04,0.97,93.0,47.0,8.9,1864.0,M,Sí,Sí,Sí,0.923076923076923
